pa_id,game_id,pa_result,base_state,score_diff,pitcher_name,pitcher_hand,pitch_count,rbi,runs_scored,exit_velocity,launch_angle,hit_distance,Bat Speed,spray_direction,batted_ball_type,hard_hit,role,pitch_velo,pitch_type
20260513_KC_PA3,20260513_KC,Flyout,010,0,Seth Lugo,R,8,0,0,101.6,35,379,75.1,Center,Fly Ball,TRUE,Starter,75.9,CU
20260513_KC_PA4,20260513_KC,Walk,010,+2,Steven Cruz,R,6,0,0,0,0,0,0,0,,FALSE,Starter,88.9,SL
20260513_KC_PA5,20260513_KC,Flyout,000,+3,Alex Lange,R,4,0,0,107.3,43,335,82.2,Pull,Fly Ball,TRUE,Starter,86.7,SL
20260514_KC_PA1,20260514_KC,Walk,000,-1,Kris Bubic,L,8,0,1,0,0,0,0,0,,FALSE,Starter,92.4,FF
20260514_KC_PA2,20260514_KC,Walk,110,+1,Kris Bubic,L,6,0,0,0,0,0,0,0,,FALSE,Starter,82.6,SL
20260514_KC_PA3,20260514_KC,Walk,000,+4,Luinder Avila,R,5,0,0,0,0,0,0,0,,FALSE,Starter,97.5,FF
20260514_KC_PA4,20260514_KC,Groundout,000,+3,Alex Lange,R,4,0,0,93.8,-17,8,74.5,Pull,Ground Ball,FALSE,Starter,90.6,FC
20260515_CHC_PA1,20260515_CHC,Strikeout S,000,-1,Edward Cabrera,R,3,0,0,0,0,0,77.1,0,,FALSE,Starter,90.9,SL
20260515_CHC_PA2,20260515_CHC,Single,000,-1,Edward Cabrera,R,6,0,0,86.6,18,233,71.1,Opposite,Line Drive,FALSE,Starter,93.4,CH
20260515_CHC_PA3,20260515_CHC,Groundout,110,-1,Ryan Rolison,L,3,0,0,55.1,-67,3,74.9,Center,Ground Ball,FALSE,Starter,87.8,SL
20260515_CHC_PA4,20260515_CHC,Groundout,000,-2,Trent Thornton,R,2,0,0,86.3,8,111,0,Pull,Ground Ball,FALSE,Starter,92.1,FC
20260516_CHC_PA,20260516_CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
20260516_CHC_PA,20260516_CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
_PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE,,0,0
